City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,taber,49.8167,-112.1518,288.15,47,80,8.23,CA,1716997111
293,shahr-e babak,30.1165,55.1186,302.68,13,21,8.56,IR,1716997111
294,viveiro,43.6623,-7.5934,291.78,76,48,4.83,ES,1716997112
295,moussoro,13.6408,16.4901,315.56,11,47,3.37,TD,1716997112
296,aldan,58.6031,125.3894,281.82,69,9,2.31,RU,1716997112
297,san fernando,15.0286,120.6898,300.0,90,100,2.1,PH,1716997112
298,sorsk,54.0033,90.2467,281.0,80,100,5.46,RU,1716997112
299,mezhdurechenskiy,59.6,65.9333,275.08,46,90,1.57,RU,1716997113
300,vorkuta,67.5,64.0,267.65,92,100,7.15,RU,1716997113
301,pujehun,7.3581,-11.7208,303.85,68,78,3.25,SL,1716997113
302,kapa'a,22.0752,-159.319,297.33,85,100,7.2,US,1716997113
303,betio village,1.358,172.9211,301.17,73,7,6.67,KI,1716997113
304,ancud,-41.8697,-73.8203,283.42,77,100,5.61,CL,1716997093
305,sao gabriel da cachoeira,-0.1303,-67.0892,299.04,83,40,2.06,BR,1716997114
306,kavaratti,10.5669,72.642,301.39,85,100,9.86,IN,1716997114
307,newcastle,-32.9272,151.7765,286.92,93,0,3.0,AU,1716997075
308,deder,9.3167,41.45,292.09,34,80,0.23,ET,1716997114
309,arno,60.1167,18.6333,292.74,52,79,4.95,SE,1716997115
310,rapar,23.5667,70.6333,303.15,68,3,10.86,IN,1716997115
311,meadow lake,34.8014,-106.5436,295.46,50,87,0.82,US,1716997115
312,nelspruit,-25.4745,30.9703,293.31,68,0,3.09,ZA,1716997115
313,mogocha,53.7333,119.7667,279.6,75,52,1.24,RU,1716997115
314,kuqa,41.7278,82.9364,295.71,28,100,5.55,CN,1716997115
315,lisala,2.15,21.5167,302.42,58,92,1.15,CD,1716997116
316,gustavsberg,59.3268,18.3898,294.47,75,81,5.24,SE,1716997116
317,carnarvon,-24.8667,113.6333,292.48,53,0,8.03,AU,1716997116
318,san antonio de pale,-1.4014,5.6325,299.99,85,93,4.78,GQ,1716997116
319,acapulco de juarez,16.8634,-99.8901,303.05,70,75,2.57,MX,1716997116
320,isangel,-19.55,169.2667,294.71,65,99,5.75,VU,1716997116
321,port moresby,-9.4431,147.1797,297.63,86,28,3.96,PG,1716997117
322,pavilosta,56.8879,21.1859,292.1,81,36,2.29,LV,1716997117
323,lionel town,17.8101,-77.2406,306.09,53,86,5.75,JM,1716997117
324,arteche,12.2645,125.4048,299.65,91,100,3.25,PH,1716997118
325,paulden,34.8856,-112.4682,299.11,11,16,1.44,US,1716997118
326,tambacounda,13.7539,-13.7586,308.18,46,0,4.12,SN,1716997118
327,lewisburg,35.4492,-86.7889,298.97,54,0,2.57,US,1716996924
328,lugazi,0.3772,32.9197,295.6,69,99,1.62,UG,1716997118
329,kununurra,-15.7667,128.7333,296.14,83,1,1.54,AU,1716997118
330,happy valley-goose bay,53.3168,-60.3315,278.32,93,100,7.2,CA,1716997119
331,burla,21.5,83.8667,306.92,45,100,2.9,IN,1716997119
332,eyl,7.9803,49.8164,301.34,73,32,11.49,SO,1716997119
333,kurtamysh,54.9103,64.4319,285.13,67,96,2.68,RU,1716997119
334,lethem,3.3803,-59.7968,301.18,78,40,5.14,GY,1716997119
335,rio grande,-32.035,-52.0986,289.21,71,21,3.35,BR,1716997119
336,nizhnesortymskiy,62.4397,71.7603,271.5,77,100,8.7,RU,1716997120
337,nadi,-17.8,177.4167,296.15,83,100,3.09,FJ,1716997120
338,kamyshevatskaya,46.4132,37.9563,291.11,88,85,4.65,RU,1716997120
339,tamandare,-8.7597,-35.1047,301.32,72,44,3.23,BR,1716997120
340,amungan,15.3652,119.9582,299.99,92,100,4.94,PH,1716997120
341,vallenar,-28.5708,-70.7581,296.79,20,97,1.48,CL,1716997120
342,chui,-33.6971,-53.4616,289.86,73,18,0.87,UY,1716996866
343,kupang,-10.1667,123.5833,301.47,94,20,1.03,ID,1716996863
344,puerto aysen,-45.4,-72.7,278.49,99,100,2.71,CL,1716996887
345,yarmouth,41.7057,-70.2286,298.23,61,0,2.24,US,1716997121
346,salpazari,40.9411,39.1956,289.76,89,56,1.38,TR,1716997121
347,port blair,11.6667,92.75,301.17,89,75,1.03,IN,1716997121
348,sullivan,36.5168,-82.5332,296.17,62,40,5.66,US,1716997017
349,yermentau,51.6214,73.1069,282.65,94,100,1.68,KZ,1716997122
350,baruun-urt,46.6806,113.2792,281.93,89,100,6.19,MN,1716997122
351,rolesville,35.9232,-78.4575,301.43,52,0,0.89,US,1716997122
352,ostroleka,53.0862,21.5757,292.58,76,94,1.08,PL,1716997123
353,necochea,-38.5473,-58.7368,289.37,56,54,9.31,AR,1716996957
354,lihue,21.9789,-159.3672,296.92,82,100,7.2,US,1716997123
355,medak,18.0333,78.2667,311.54,19,100,2.31,IN,1716997123
356,kandukur,15.2167,79.9167,308.65,41,83,5.66,IN,1716997123
357,nova sintra,14.8667,-24.7167,297.44,78,40,5.27,CV,1716997124
358,yemetsk,63.4721,41.7941,287.38,54,58,2.48,RU,1716997124
359,saveh,35.0213,50.3566,303.99,14,0,4.33,IR,1716997124
360,batang,-6.4846,110.7083,300.2,80,23,2.54,ID,1716997124
